cls,id,speaker,session
air,1711508974,shan,0
air,1711508986,shan,0
bat,1711508997,shan,0
bat,1711509062,shan,0
bat,1711509070,shan,0
cap,1711509077,shan,0
air,1711509115,shan,0
air,1711509128,shan,0
air,1711509181,shan,0
bat,1711509190,shan,0
cap,1711509220,shan,0
bat,1711509226,shan,0
cap,1711509232,shan,0
bat,1711509238,shan,0
air,1711509250,shan,0
bat,1711509255,shan,0
cap,1711509262,shan,0
air,1711509268,shan,0
bat,1711509274,shan,0
air,1711509280,shan,0
cap,1711509286,shan,0
air,1711509293,shan,0
air,1711509299,shan,0
cap,1711509306,shan,0
bat,1711509312,shan,0
bat,1711509318,shan,0
air,1711509325,shan,0
bat,1711509331,shan,0
cap,1711509338,shan,0
bat,1711509344,shan,0
cap,1711509351,shan,0
bat,1711509357,shan,0
bat,1711509364,shan,0
air,1711509371,shan,0
cap,1711509377,shan,0
cap,1711509384,shan,0
bat,1711509389,shan,0
air,1711509395,shan,0
air,1711509402,shan,0
cap,1711509420,shan,0
air,1711509426,shan,0
air,1711509432,shan,0
cap,1711509437,shan,0
cap,1711509443,shan,0
bat,1711509449,shan,0
air,1711509456,shan,0
bat,1711509462,shan,0
cap,1711509468,shan,0
cap,1711509474,shan,0
bat,1711509480,shan,0
bat,1711509487,shan,0
cap,1711509498,shan,0
air,1711509509,shan,0
air,1711509516,shan,0
bat,1711509524,shan,0
air,1711509536,shan,0
air,1711509543,shan,0
cap,1711509550,shan,0
cap,1711509556,shan,0
air,1711509564,shan,0
cap,1711509569,shan,0
air,1711509582,shan,0
cap,1711509588,shan,0
air,1711509595,shan,0
cap,1711509601,shan,0
air,1711509607,shan,0
air,1711509613,shan,0
air,1711509618,shan,0
bat,1711509625,shan,0
air,1711509630,shan,0
air,1711509642,shan,0
cap,1711509655,shan,0
bat,1711509661,shan,0
bat,1711509667,shan,0
air,1711509675,shan,0
air,1711509681,shan,0
bat,1711509689,shan,0
cap,1711509695,shan,0
cap,1711509701,shan,0
air,1711509710,shan,0
bat,1711509716,shan,0
bat,1711509723,shan,0
air,1711509729,shan,0
air,1711509735,shan,0
cap,1711509741,shan,0
bat,1711509746,shan,0
air,1711509752,shan,0
bat,1711509757,shan,0
air,1711509763,shan,0
air,1711509792,shan,0
air,1711509806,shan,0
air,1711509812,shan,0
cap,1711509817,shan,0
cap,1711509823,shan,0
air,1711509830,shan,0
air,1711509836,shan,0
air,1711509843,shan,0
air,1711509849,shan,0
