"cls","id","speaker","session"
"air",1693896975,"shan",0
"bat",1693896984,"shan",0
"cap",1693896993,"shan",0
"air",1693897002,"shan",0
"bat",1693897012,"shan",0
"cap",1693897021,"shan",0
"air",1693897029,"shan",0
"bat",1693897038,"shan",0
"cap",1693897047,"shan",0
"air",1693897069,"shan",0
"bat",1693897078,"shan",0
"cap",1693897086,"shan",0
"air",1693897095,"shan",0
"bat",1693897114,"shan",0
"cap",1693897138,"shan",0
"air",1693897148,"shan",0
"bat",1693897157,"shan",0
"cap",1693897176,"shan",0
"air",1693897184,"shan",0
"bat",1693897205,"shan",0
"cap",1693897213,"shan",0
"air",1693897222,"shan",0
"bat",1693897232,"shan",0
"cap",1693897240,"shan",0
"air",1693897248,"shan",0
"bat",1693897258,"shan",0
"cap",1693897266,"shan",0
"air",1693897300,"shan",0
"bat",1693897309,"shan",0
"cap",1693897317,"shan",0
"air",1693897330,"shan",0
"bat",1693897339,"shan",0
"cap",1693897347,"shan",0
"air",1693897356,"shan",0
"bat",1693897364,"shan",0
"cap",1693897375,"shan",0
"air",1693897384,"shan",0
"bat",1693897392,"shan",0
"cap",1693897404,"shan",0
"air",1693897413,"shan",0
"bat",1693897421,"shan",0
"cap",1693897429,"shan",0
"air",1693897438,"shan",0
"bat",1693897456,"shan",0
"cap",1693897464,"shan",0
"air",1693897474,"shan",0
"bat",1693897482,"shan",0
"cap",1693897490,"shan",0
"air",1693897501,"shan",0
"bat",1693897509,"shan",0
"cap",1693897517,"shan",0
"air",1693897527,"shan",0
"bat",1693897537,"shan",0
"cap",1693897545,"shan",0
"air",1693897557,"shan",0
"bat",1693897566,"shan",0
"cap",1693897574,"shan",0
"air",1693897583,"shan",0
"bat",1693897595,"shan",0
"cap",1693897608,"shan",0
"air",1693897617,"shan",0
"bat",1693897626,"shan",0
"cap",1693897634,"shan",0
"air",1693897642,"shan",0
"bat",1693897650,"shan",0
"cap",1693897661,"shan",0
"air",1693897670,"shan",0
"bat",1693897679,"shan",0
"cap",1693897695,"shan",0
"air",1693897704,"shan",0
"bat",1693897719,"shan",0
"cap",1693897729,"shan",0
"air",1693897738,"shan",0
"bat",1693897747,"shan",0
"cap",1693897759,"shan",0
"air",1693897769,"shan",0
"bat",1693897787,"shan",0
"cap",1693897806,"shan",0
"air",1693897893,"shan",0
"bat",1693897908,"shan",0
"cap",1693897916,"shan",0
"air",1693897924,"shan",0
"bat",1693897933,"shan",0
"cap",1693897941,"shan",0
"air",1693897950,"shan",0
"bat",1693897958,"shan",0
"cap",1693897966,"shan",0
"air",1693897975,"shan",0
"bat",1693897993,"shan",0
"cap",1693898001,"shan",0
"air",1693898013,"shan",0
"bat",1693898021,"shan",0
"cap",1693898029,"shan",0
"air",1693898037,"shan",0
"bat",1693898046,"shan",0
"cap",1693898053,"shan",0
"air",1693898066,"shan",0
"bat",1693898074,"shan",0
"cap",1693898082,"shan",0
"air",1693898104,"shan",0
"bat",1693898123,"shan",0
"cap",1693898131,"shan",0
"air",1693898139,"shan",0
"bat",1693898150,"shan",0
"cap",1693898163,"shan",0
"air",1693898171,"shan",0
"bat",1693898179,"shan",0
"cap",1693898189,"shan",0
"air",1693898205,"shan",0
"bat",1693898213,"shan",0
"cap",1693898221,"shan",0
"air",1693898242,"shan",0
"bat",1693898253,"shan",0
"cap",1693898262,"shan",0
"air",1693898281,"shan",0
"bat",1693898297,"shan",0
"cap",1693898305,"shan",0
"air",1693898394,"shan",0
"bat",1693898402,"shan",0
"cap",1693898411,"shan",0
"air",1693898419,"shan",0
"bat",1693898430,"shan",0
"cap",1693898438,"shan",0
"air",1693898447,"shan",0
"bat",1693898455,"shan",0
"cap",1693898470,"shan",0
"air",1693898479,"shan",0
"bat",1693898488,"shan",0
"cap",1693898496,"shan",0
"air",1693898506,"shan",0
"bat",1693898514,"shan",0
"cap",1693898522,"shan",0
"air",1693898540,"shan",0
"bat",1693898556,"shan",0
"cap",1693898565,"shan",0
"air",1693898574,"shan",0
"bat",1693898590,"shan",0
"cap",1693898598,"shan",0
"air",1693898607,"shan",0
"bat",1693898630,"shan",0
"cap",1693898643,"shan",0
"air",1693898650,"shan",0
"bat",1693898659,"shan",0
"cap",1693898667,"shan",0
"air",1693898680,"shan",0
"bat",1693898688,"shan",0
"cap",1693898696,"shan",0
"air",1693898730,"shan",0
"bat",1693898747,"shan",0
"cap",1693898762,"shan",0
"air",1693898770,"shan",0
"bat",1693898778,"shan",0
"cap",1693898787,"shan",0
"air",1693965784,"shan",1
"bat",1693965810,"shan",1
"cap",1693965819,"shan",1
"air",1693965876,"shan",1
"bat",1693965885,"shan",1
"cap",1693965907,"shan",1
"air",1693965917,"shan",1
"bat",1693965942,"shan",1
"cap",1693965950,"shan",1
"air",1693965957,"shan",1
"bat",1693965965,"shan",1
"cap",1693966011,"shan",1
"air",1693966019,"shan",1
"bat",1693966026,"shan",1
"cap",1693966034,"shan",1
"air",1693966041,"shan",1
"bat",1693966051,"shan",1
"cap",1693966059,"shan",1
"air",1693966067,"shan",1
"bat",1693966074,"shan",1
"cap",1693966081,"shan",1
"air",1693966089,"shan",1
"bat",1693966098,"shan",1
"cap",1693966105,"shan",1
"air",1693966113,"shan",1
"bat",1693966120,"shan",1
"cap",1693966127,"shan",1
"air",1693966135,"shan",1
"bat",1693966144,"shan",1
"cap",1693966152,"shan",1
"air",1693966159,"shan",1
"bat",1693966167,"shan",1
"cap",1693966174,"shan",1
"air",1693966182,"shan",1
"bat",1693966190,"shan",1
"cap",1693966198,"shan",1
"air",1693966205,"shan",1
"bat",1693966212,"shan",1
"cap",1693966219,"shan",1
"air",1693966227,"shan",1
"bat",1693966234,"shan",1
"cap",1693966241,"shan",1
"air",1693966249,"shan",1
"bat",1693966257,"shan",1
"cap",1693966264,"shan",1
"air",1693966280,"shan",1
"bat",1693966299,"shan",1
"cap",1693966307,"shan",1
"air",1693966315,"shan",1
"bat",1693966323,"shan",1
"cap",1693966331,"shan",1
"air",1693966339,"shan",1
"bat",1693966347,"shan",1
"cap",1693966356,"shan",1
"air",1693966364,"shan",1
"bat",1693966371,"shan",1
"cap",1693966379,"shan",1
"air",1693966386,"shan",1
"bat",1693966394,"shan",1
"cap",1693966401,"shan",1
"air",1693966409,"shan",1
"bat",1693966416,"shan",1
"cap",1693966424,"shan",1
"air",1693966431,"shan",1
"bat",1693966439,"shan",1
"cap",1693966449,"shan",1
"air",1693966456,"shan",1
"bat",1693966464,"shan",1
"cap",1693966471,"shan",1
"air",1693966494,"shan",1
"bat",1693966501,"shan",1
"cap",1693966510,"shan",1
"air",1693966526,"shan",1
"bat",1693966534,"shan",1
"cap",1693966541,"shan",1
"air",1693966548,"shan",1
"bat",1693966556,"shan",1
"cap",1693966563,"shan",1
"air",1693966574,"shan",1
"bat",1693966582,"shan",1
"cap",1693966590,"shan",1
"air",1693966597,"shan",1
"bat",1693966605,"shan",1
"cap",1693966612,"shan",1
"air",1693966620,"shan",1
"bat",1693966629,"shan",1
"cap",1693966636,"shan",1
"air",1693966644,"shan",1
"bat",1693966651,"shan",1
"cap",1693966700,"shan",1
"air",1693966708,"shan",1
"bat",1693966715,"shan",1
"cap",1693966723,"shan",1
"air",1693966730,"shan",1
"bat",1693966739,"shan",1
"cap",1693966747,"shan",1
"air",1693966793,"shan",1
"bat",1693966817,"shan",1
"cap",1693966825,"shan",1
"air",1693966835,"shan",1
"bat",1693966843,"shan",1
"cap",1693966850,"shan",1
"air",1693966858,"shan",1
"bat",1693966865,"shan",1
"cap",1693966873,"shan",1
"air",1693966880,"shan",1
"bat",1693966888,"shan",1
"cap",1693966896,"shan",1
"air",1693966904,"shan",1
"bat",1693966911,"shan",1
"cap",1693966918,"shan",1
"air",1693966925,"shan",1
"bat",1693966933,"shan",1
"cap",1693966940,"shan",1
"air",1693966947,"shan",1
"bat",1693966954,"shan",1
"cap",1693966962,"shan",1
"air",1693966970,"shan",1
"bat",1693966977,"shan",1
"cap",1693966984,"shan",1
"air",1693966992,"shan",1
"bat",1693967007,"shan",1
"cap",1693967014,"shan",1
"air",1693967021,"shan",1
"bat",1693967028,"shan",1
"cap",1693967043,"shan",1
"air",1693967050,"shan",1
"bat",1693967058,"shan",1
"cap",1693967065,"shan",1
"air",1693967072,"shan",1
"bat",1693967079,"shan",1
"cap",1693967086,"shan",1
"air",1693967093,"shan",1
"bat",1693967101,"shan",1
"cap",1693967108,"shan",1
"air",1693967116,"shan",1
"bat",1693967123,"shan",1
