%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
166.0, 45029.08677209458, 39475.6170482179, 28363.8943271511, 10798.932409159233, -6953.515941323751, 15428.179851553423, -4095.3313225902707, 21863.247080236328, 0.034, -0.012, 1.016, 192.0, 1.0, 16.0, 255.0, 160.0, 31.0, 192.0, 0.0, 0.0, 0.0, 1.711528993807294E9, 0.0, 2024-03-27 16:43:13.807
167.0, 43966.30602673364, 39204.75860890849, 28815.623082592858, 11144.7809511162, -6704.919839491826, 15707.934285156047, -4022.1740629880505, 22093.89473127064, 0.034, -0.012, 1.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.711528993807335E9, 0.0, 2024-03-27 16:43:13.807
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.034, -0.014, 1.014, 192.0, 1.0, 16.0, 255.0, 144.0, 31.0, 176.0, 0.0, 0.0, 0.0, 1.711528993906039E9, 0.0, 2024-03-27 16:43:13.906
1.0, 44388.50812774994, 38437.356166524434, 27757.156223911792, 10042.594080280553, -7688.486002503158, 14668.622871473179, -4967.429336002986, 21049.12949194068, 0.034, -0.014, 1.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.711528993923596E9, 0.0, 2024-03-27 16:43:13.923
2.0, 44973.90031503443, 38693.41775100443, 27458.715731944532, 9810.381807134367, -7853.039545183128, 14488.870142563599, -4987.5906095016735, 20884.866521938628, 0.034, -0.014, 1.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.71152899392613E9, 0.0, 2024-03-27 16:43:13.926
3.0, 44150.70791848993, 38640.242950945256, 27683.95426082066, 9975.382384703444, -7741.81726477352, 14628.233269242439, -4930.88423381856, 20974.0499823153, 0.034, -0.014, 1.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.711528993930091E9, 0.0, 2024-03-27 16:43:13.930
4.0, 43137.10101093066, 38357.91806673027, 28089.861940129038, 10284.551714009252, -7527.084055791385, 14874.32597569537, -4883.722053017861, 21180.490694104516, 0.034, -0.014, 1.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.711528993934257E9, 0.0, 2024-03-27 16:43:13.934
5.0, 43286.52242261439, 38209.21191086911, 28121.355548066564, 10310.747958510872, -7510.141433494263, 14881.076202520873, -4925.631573871562, 21207.58100838435, 0.034, -0.014, 1.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.71152899393713E9, 0.0, 2024-03-27 16:43:13.937
6.0, 44356.54513317885, 38409.64000339985, 27737.643151002307, 10020.778777692172, -7712.894107448353, 14645.51116770639, -4990.295170580765, 21025.727215495972, 0.034, -0.014, 1.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.711528993941087E9, 0.0, 2024-03-27 16:43:13.941
7.0, 44943.14431466393, 38657.23027673129, 27424.89754258365, 9774.015518905582, -7889.294074689637, 14455.744857280835, -5019.508900583852, 20852.769416900806, 0.034, -0.014, 1.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.711528993945139E9, 0.0, 2024-03-27 16:43:13.945
