cls,id,speaker,session
air,1711530665,shan,0
air,1711530672,shan,0
cap,1711530679,shan,0
bat,1711530685,shan,0
cap,1711530691,shan,0
air,1711530697,shan,0
cap,1711530703,shan,0
cap,1711530708,shan,0
cap,1711530714,shan,0
air,1711530720,shan,0
cap,1711530733,shan,0
air,1711530739,shan,0
bat,1711530745,shan,0
air,1711530751,shan,0
cap,1711530757,shan,0
cap,1711530763,shan,0
cap,1711530769,shan,0
air,1711530774,shan,0
cap,1711530780,shan,0
air,1711530785,shan,0
bat,1711530791,shan,0
bat,1711530796,shan,0
bat,1711530802,shan,0
bat,1711530811,shan,0
bat,1711530819,shan,0
air,1711530825,shan,0
bat,1711530831,shan,0
cap,1711530836,shan,0
air,1711530842,shan,0
air,1711530849,shan,0
air,1711530854,shan,0
cap,1711530860,shan,0
air,1711530866,shan,0
cap,1711530878,shan,0
cap,1711530884,shan,0
air,1711530890,shan,0
air,1711530900,shan,0
bat,1711530906,shan,0
bat,1711530911,shan,0
cap,1711530917,shan,0
cap,1711530923,shan,0
air,1711530928,shan,0
cap,1711530934,shan,0
air,1711530939,shan,0
cap,1711530944,shan,0
bat,1711530950,shan,0
air,1711530960,shan,0
air,1711530967,shan,0
cap,1711530974,shan,0
air,1711530986,shan,0
cap,1711530992,shan,0
bat,1711531000,shan,0
air,1711531006,shan,0
bat,1711531011,shan,0
air,1711531017,shan,0
air,1711531023,shan,0
cap,1711531029,shan,0
cap,1711531034,shan,0
air,1711531040,shan,0
air,1711531045,shan,0
bat,1711531051,shan,0
cap,1711531057,shan,0
bat,1711531064,shan,0
air,1711531075,shan,0
cap,1711531085,shan,0
air,1711531091,shan,0
air,1711531098,shan,0
bat,1711531103,shan,0
air,1711531109,shan,0
cap,1711531115,shan,0
bat,1711531121,shan,0
air,1711531134,shan,0
cap,1711531140,shan,0
cap,1711531157,shan,0
air,1711531163,shan,0
bat,1711531170,shan,0
bat,1711531176,shan,0
cap,1711531197,shan,0
bat,1711531202,shan,0
air,1711531216,shan,0
bat,1711531232,shan,0
air,1711531238,shan,0
cap,1711531246,shan,0
air,1711531252,shan,0
bat,1711531259,shan,0
bat,1711531265,shan,0
bat,1711531271,shan,0
air,1711531277,shan,0
air,1711531289,shan,0
air,1711531295,shan,0
cap,1711531300,shan,0
bat,1711531306,shan,0
cap,1711531315,shan,0
bat,1711531321,shan,0
cap,1711531327,shan,0
air,1711531333,shan,0
cap,1711531339,shan,0
bat,1711531345,shan,0
bat,1711531350,shan,0
cap,1711531358,shan,0
cap,1711531364,shan,0
cap,1711531371,shan,0
bat,1711531376,shan,0
air,1711531383,shan,0
cap,1711531389,shan,0
cap,1711531396,shan,0
air,1711531403,shan,0
cap,1711531409,shan,0
bat,1711531414,shan,0
bat,1711531419,shan,0
cap,1711531426,shan,0
air,1711531435,shan,0
air,1711531447,shan,0
bat,1711531453,shan,0
air,1711531465,shan,0
cap,1711531471,shan,0
bat,1711531477,shan,0
bat,1711531483,shan,0
air,1711531497,shan,0
bat,1711531503,shan,0
cap,1711531508,shan,0
cap,1711531514,shan,0
cap,1711531519,shan,0
air,1711531526,shan,0
air,1711531532,shan,0
cap,1711531543,shan,0
air,1711531549,shan,0
air,1711531560,shan,0
bat,1711531567,shan,0
bat,1711531573,shan,0
air,1711531585,shan,0
bat,1711531591,shan,0
cap,1711531596,shan,0
cap,1711531602,shan,0
air,1711531608,shan,0
cap,1711531615,shan,0
cap,1711531626,shan,0
bat,1711531632,shan,0
cap,1711531638,shan,0
bat,1711531644,shan,0
bat,1711531659,shan,0
bat,1711531665,shan,0
bat,1711531670,shan,0
bat,1711531676,shan,0
bat,1711531684,shan,0
bat,1711531689,shan,0
bat,1711531694,shan,0
bat,1711531699,shan,0
bat,1711531704,shan,0
bat,1711531715,shan,0
air,1711872147,shan,1
bat,1711872180,shan,1
air,1711872213,shan,1
cap,1711872221,shan,1
cap,1711872234,shan,1
air,1711872270,shan,1
bat,1711872308,shan,1
air,1711872355,shan,1
cap,1711872364,shan,1
air,1711872521,shan,1
bat,1711872530,shan,1
bat,1711872537,shan,1
air,1711872544,shan,1
air,1711872549,shan,1
cap,1711872556,shan,1
bat,1711872561,shan,1
cap,1711872567,shan,1
cap,1711872573,shan,1
bat,1711872579,shan,1
air,1711872586,shan,1
air,1711872591,shan,1
air,1711872597,shan,1
cap,1711872616,shan,1
cap,1711872621,shan,1
air,1711872627,shan,1
cap,1711872632,shan,1
bat,1711872637,shan,1
bat,1711872643,shan,1
air,1711872649,shan,1
cap,1711872654,shan,1
air,1711872660,shan,1
bat,1711872669,shan,1
air,1711872679,shan,1
cap,1711872689,shan,1
air,1711872696,shan,1
